10	20
11	20
12	8
14	20
15	20
16	8
17	20
18	20
19	20
20	20
21	20
22	20
40	20
41	20
42	20
43	8
50	20
51	20
52	20
53	20
54	20
55	20
56	20
57	7
58	23
59	23
60	23
61	23
62	23
63	23
64	23
65	23
66	23
67	7
68	7
69	23
70	9
71	9
72	9
73	9
81	20
90	8
91	8
92	20
93	20
94	8
95	8
96	8
97	8
98	20
100	6
101	19
102	19
103	19
104	19
105	6
106	23
107	7
108	19
109	19
110	7
111	7
112	19
113	19
114	19
115	7
116	19
117	19
118	19
119	19
120	19
121	7
122	19
123	7
124	19
125	6
126	6
127	19
128	7
129	6
130	6
131	7
132	7
133	23
134	23
135	19
136	6
137	19
138	23
139	19
140	23
141	23
142	19
143	23
144	7
200	20
201	20
202	20
211	19
212	19
220	8
221	8
222	8
223	8
230	8
231	20
232	8
240	8
241	8
242	20
250	8
251	20
252	8
260	8
261	8
262	8
263	20
264	20
299	6
300	11
303	11
304	11
310	11
311	11
312	18
313	11
314	11
315	11
316	10
317	11
318	11
319	11
320	11
321	18
322	11
323	11
330	11
331	11
332	11
333	18
334	11
336	11
337	11
341	9
345	9
350	11
351	18
352	18
353	18
355	11
356	10
357	10
358	10
360	11
361	11
362	11
363	11
367	10
370	9
371	11
372	9
373	9
374	9
375	9
377	9
378	9
379	9
381	9
391	11
400	10
401	11
402	10
403	10
404	10
405	10
406	10
407	10
408	10
409	10
410	10
411	10
412	10
413	10
420	10
421	10
422	10
423	10
424	10
431	11
450	9
451	9
452	9
460	10
461	10
462	10
463	10
471	10
475	9
481	10
490	10
491	11
492	18
500	10
501	10
502	10
503	10
504	10
505	10
506	10
507	10
508	10
509	10
5091	10
5092	10
5093	10
510	10
511	10
512	10
513	10
514	10
520	11
521	11
522	11
523	10
531	11
540	10
541	10
542	18
543	10
544	10
545	10
546	10
547	18
548	10
549	10
5491	10
550	9
551	11
552	9
555	10
561	10
571	9
580	11
581	11
582	11
583	11
591	10
600	10
601	10
602	10
603	18
604	18
605	10
606	18
611	9
621	10
631	11
641	9
650	10
651	10
652	10
653	10
654	10
655	10
657	10
658	10
660	10
661	18
662	10
663	10
664	10
680	10
681	10
682	10
683	10
684	10
690	11
691	11
692	11
693	10
694	11
701	10
711	11
712	9
720	10
721	10
7211	10
722	11
729	11
730	11
731	11
732	11
740	9
741	9
742	9
743	9
744	11
745	9
746	9
747	9
748	9
749	9
752	9
753	9
755	9
756	9
757	9
758	9
760	9
761	9
762	9
763	9
764	9
765	9
766	9
768	9
769	9
770	9
771	9
772	9
773	9
774	9
800	10
801	18
802	10
803	18
804	10
805	18
806	10
807	18
808	10
809	10
810	18
811	18
812	10
813	10
814	18
815	18
816	10
817	10
818	18
819	10
820	10
821	18
822	11
823	10
824	10
825	10
826	10
827	10
828	10
829	18
830	10
831	10
832	10
833	10
834	10
835	10
836	10
837	10
838	10
839	18
840	10
841	10
842	10
843	18
844	10
845	10
846	18
847	18
851	10
8511	10
8512	10
8513	10
8514	10
852	11
853	10
854	9
855	10
856	10
857	10
858	10
859	10
860	11
863	10
864	10
865	10
8651	10
866	10
867	10
868	10
869	9
870	10
873	11
874	10
876	9
877	9
882	9
883	9
884	10
885	9
886	11
887	10
888	10
890	11
891	11
895	9
896	11
897	9
901	9
902	9
906	10
907	9
908	9
909	11
911	11
912	11
913	11
914	11
915	9
919	11
920	9
921	11
922	9
923	9
924	9
925	9
926	9
927	9
928	9
929	9
931	10
934	10
935	10
936	10
937	10
940	10
950	11
951	11
952	11
953	11
970	10
971	10
972	10
973	10
974	10
975	10
976	10
977	10
981	18
982	23
986	10
987	10
988	10
989	10
990	11
991	10
992	10
993	9
994	10
995	9
996	10
997	9
998	10
999	10
